#,Job Name,position oracle id,candidate name,email,id name,mobile number,candidate type,job id,candidate id,stage,stage start date,stage end date,interview date,joining date,added by
1,BeatBass,12391,BeatBass Doe,beatbass@mailinator.com,1234454519,+966502352574,contractual,126,193,Applied,24 Mar 2022 13:51:49,24 Mar 2022 13:52:09,25 Mar 2022,,Mohamed Yakout
2,BeatBass,12391,BeatBass Doe,beatbass@mailinator.com,1234454519,+966502352574,contractual,126,193,Shortlisted,24 Mar 2022 13:52:09,24 Mar 2022 13:52:20,25 Mar 2022,,Mohamed Yakout
3,BeatBass,12391,BeatBass Doe,beatbass@mailinator.com,1234454519,+966502352574,contractual,126,193,Shared,24 Mar 2022 13:52:20,24 Mar 2022 14:09:15,25 Mar 2022,,Mohamed Yakout
4,BeatBass,12391,BeatBass Doe,beatbass@mailinator.com,1234454519,+966502352574,contractual,126,193,Selected,24 Mar 2022 14:09:15,24 Mar 2022 14:10:47,25 Mar 2022,,Agency Manager
5,BeatBass,12391,BeatBass Doe,beatbass@mailinator.com,1234454519,+966502352574,contractual,126,193,Interview,24 Mar 2022 14:10:47,24 Mar 2022 14:12:44,25 Mar 2022,,Mohamed Yakout
6,BeatBass,12391,BeatBass Doe,beatbass@mailinator.com,1234454519,+966502352574,contractual,126,193,PassInterview,24 Mar 2022 14:12:44,24 Mar 2022 14:29:13,25 Mar 2022,,Agency Manager
7,BeatBass,12391,BeatBass Doe,beatbass@mailinator.com,1234454519,+966502352574,contractual,126,193,JobOffer,24 Mar 2022 14:29:13,,25 Mar 2022,,Mohamed Yakout
1,Agent,,blyth doe,blyrhdoe@mailinator.com,2342343323,+966502364896,contractual,60,192,Applied,08 Mar 2022 07:17:29,08 Mar 2022 07:17:53,11 Mar 2022,,Mohamed Yakout
2,Agent,,blyth doe,blyrhdoe@mailinator.com,2342343323,+966502364896,contractual,60,192,Shortlisted,08 Mar 2022 07:17:53,08 Mar 2022 07:17:56,11 Mar 2022,,Mohamed Yakout
3,Agent,,blyth doe,blyrhdoe@mailinator.com,2342343323,+966502364896,contractual,60,192,Shared,08 Mar 2022 07:17:56,08 Mar 2022 07:19:45,11 Mar 2022,,Mohamed Yakout
4,Agent,,blyth doe,blyrhdoe@mailinator.com,2342343323,+966502364896,contractual,60,192,Selected,08 Mar 2022 07:19:45,08 Mar 2022 07:21:11,11 Mar 2022,,Agency Manager
5,Agent,,blyth doe,blyrhdoe@mailinator.com,2342343323,+966502364896,contractual,60,192,Interview,08 Mar 2022 07:21:11,,11 Mar 2022,,Mohamed Yakout
1,Agent,,santiago doe,santiagodoe@mailinator.com,2342423234,+96650234234,contractual,60,191,Applied,07 Mar 2022 14:37:19,07 Mar 2022 14:38:03,30 Mar 2022,,Mohamed Yakout
2,Agent,,santiago doe,santiagodoe@mailinator.com,2342423234,+96650234234,contractual,60,191,Shortlisted,07 Mar 2022 14:38:03,07 Mar 2022 14:38:16,30 Mar 2022,,Mohamed Yakout
3,Agent,,santiago doe,santiagodoe@mailinator.com,2342423234,+96650234234,contractual,60,191,Shared,07 Mar 2022 14:38:16,07 Mar 2022 14:40:15,30 Mar 2022,,Mohamed Yakout
4,Agent,,santiago doe,santiagodoe@mailinator.com,2342423234,+96650234234,contractual,60,191,Selected,07 Mar 2022 14:40:15,07 Mar 2022 14:42:17,30 Mar 2022,,Agency Manager
5,Agent,,santiago doe,santiagodoe@mailinator.com,2342423234,+96650234234,contractual,60,191,Interview,07 Mar 2022 14:42:17,07 Mar 2022 14:56:59,30 Mar 2022,,Mohamed Yakout
6,Agent,,santiago doe,santiagodoe@mailinator.com,2342423234,+96650234234,contractual,60,191,PassInterview,07 Mar 2022 14:56:59,07 Mar 2022 14:58:51,30 Mar 2022,,Agency Manager
7,Agent,,santiago doe,santiagodoe@mailinator.com,2342423234,+96650234234,contractual,60,191,JobOffer,07 Mar 2022 14:58:51,,30 Mar 2022,,Mohamed Yakout
1,Agent,,Amanda Doe,amandadoe@mailinator.com,3535443432,+966523453534,contractual,60,190,Applied,07 Mar 2022 10:09:44,07 Mar 2022 10:10:12,16 Mar 2022,,Mohamed Yakout
2,Agent,,Amanda Doe,amandadoe@mailinator.com,3535443432,+966523453534,contractual,60,190,Shortlisted,07 Mar 2022 10:10:12,07 Mar 2022 10:10:16,16 Mar 2022,,Mohamed Yakout
3,Agent,,Amanda Doe,amandadoe@mailinator.com,3535443432,+966523453534,contractual,60,190,Shared,07 Mar 2022 10:10:16,07 Mar 2022 10:11:36,16 Mar 2022,,Mohamed Yakout
